;Aciclovir;AmioDARONA;Anfotericina B**;Anfotericina B complexo lip**;Anfotericina B lipossomal**;Ampicillina+Sulbactam;Anidulafungina;Gluconato de Cálcio;CeFAZolina;Cefepime ;CefTAZidima;Ceftazidima +Avibactam;Ceftriaxona;Ciprofloxacino;Clindamicina;DAPTOmicina;Dexmedetomidina;Dobutamina;DOPamina;EPINEFrina;Esmolol ;FentaNILA;Fluconazol;Escetamina;Levofloxacino;Linezolida;Sulfato de Magnésio;Meropenem;Metronidazol;Micafungina;Midazolam;Milrinona;Morfina;NitroGLICERINA*;NitroPRUSSETO*;NOREPinefrina*;Oxacillina;Piperacilina+ tazobactam;Polymyxina B;Cloreto de Potássio;Fosfato de Potássio;Propofol;Rocuronio;Bicarbonato de Sódio;Tirofiban;Vancomicina;Vasopressina*;Ampicilina ;Alprostadil;NPT (3 em 1);;;;
Aciclovir;;I;I;C;C;I;C;C;C;I;C;;C;I;C;I;C;I;I;I;I;C;C;I;I;C;C;D;C;;I;C;D;C;I;;C;I;C;C;I;C;C;C;C;C;C;C;;I;;;;
AmioDARONA;I;;D;C;C;I;C;;D;C;I;;D;C;C;C;C;D;C;C;C;D;C;C;I;C;D;I;C;I;C;C;C;C;D;D;;I;C;D;I;;C;I;C;C;C;C;C;C;;;;
Anfotericina B**;I;D;;;;I;I;I;D;I;D;;D;;I;I;I;I;I;I;I;D;I;;I;I;D;I;I;;I;I;I;D;I;I;I;I;I;I;;I;I;I;I;I;I;I;;I;;;;
Anfotericina B complexo lip**;C;C;;;;I;C;I;C;C;C;;C;I;C;I;I;I;I;C;I;C;I;;I;C;I;I;I;;I;I;I;C;C;I;;C;I;;I;;I;I;I;I;I;D;;;;;;
Anfotericina B lipossomal**;C;;;;;I;C;I;C;I;I;;C;I;C;C;C;I;I;C;C;C;;;I;C;I;D;I;;I;C;I;C;C;;;C;;C;I;;;I;;I;C;I;;;;;;
Ampicilina+Sulbactam;I;I;I;I;I;;C;C;C;C;C;;C;I;C;C;C;I;C;C;C;C;C;;C;C;C;;C;;I;C;C;C;C;C;C;;C;C;;;C;C;C;D;C;;;C;;;;
Anidulafungina;C;C;I;C;C;C;;C;C;C;C;;C;C;C;;C;C;C;C;C;C;C;;C;C;I;C;C;;C;C;C;C;C;C;;C;C;C;I;;C;I;C;C;C;C;;;;;;
Gluconato de Cálcio;C;D;I;I;I;C;C;;C;C;C;;I;C;C;C;C;C;C;C;C;C;D;C;C;C;C;D;C;C;C;C;C;C;C;C;I;C;C;C;I;C;C;I;C;C;C;D;C;D;;;;
CeFAZolina;C;D;D;C;C;C;C;C;;;C;;C;;C;C;C;I;I;C;C;C;C;C;I;C;D;C;C;;C;C;C;C;C;C;C;;C;C;;C;D;C;C;D;C;C;C;C;;;;
Cefepime ;I;C;I;C;I;C;C;C;;;;;;I;;C;C;D;D;;C;;C;C;C;C;I;;C;;I;C;D;;;;;C;;;;D;C;C;C;D;C;;;D;;;;
CefTAZidima;C;I;D;C;I;C;C;C;C;;;;C;C;C;C;C;D;C;C;C;C;D;C;C;C;C;C;C;;I;C;C;C;I;C;C;;C;C;;D;C;C;C;D;C;C;;C;;;;
Ceftazidima +Avibactam;;;;;;;;;;;;;;;;C;C;;C;;;;;;;C;C;C;;;;;;;;;;;;C;C;;;C;;;C;;;;;;;
Ceftriaxona;C;D;D;C;C;C;C;I;C;;C;;;;I;C;C;I;C;C;C;C;D;;C;C;;C;C;;C;C;C;C;C;C;C;;C;C;;C;C;C;C;D;C;C;;I;;;;
Ciprofloxacino;I;C;;I;I;I;C;C;;I;C;;;;;C;C;C;C;;;;;;;C;I;I;C;;C;C;;;;;;I;;C;I;I;C;D;C;C;C;;;C;;;;
Clindamicina;C;C;I;C;C;C;C;C;C;;C;;I;;;C;C;C;C;C;C;C;D;C;C;C;C;C;C;;D;C;C;C;C;C;C;C;D;C;;C;C;C;C;C;C;C;;C;;;;
DAPTOmicina;I;C;I;I;C;C;C;C;C;C;C;C;C;C;C;;C;C;C;C;C;C;C;;C;C;C;C;I;;C;C;C;I;C;C;;C;C;C;C;;C;C;C;I;C;C;;;;;;
Dexmedetomidina;C;C;I;I;C;C;C;C;C;C;C;C;C;C;C;C;;C;C;C;C;C;C;I;C;C;C;C;C;;C;C;C;C;C;C;;C;;C;C;C;D;C;C;C;C;C;D;C;;;;
Dobutamina;I;D;I;I;I;I;C;C;I;D;D;;I;C;C;C;C;;C;C;C;C;C;C;C;C;C;I;C;;D;C;C;C;C;C;;I;;C;C;D;C;I;C;C;C;I;C;C;;;;
DOPamina;I;C;I;I;I;C;C;C;I;D;C;C;C;C;C;C;C;C;;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;;D;C;I;C;C;C;;C;D;;;;
